step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.614731865596964,0,0.0,0.9518586668780827,0,0.0
10.0,0,0.0,0.0,11.656749969174518,0,0.0,0.8207919918780798,0,0.0
15.0,6,14.0,0.7777777777777778,6.787231341950905,6,14.0,0.37584836589786635,6,14.0
20.0,8,51.0,2.8333333333333335,7.121893196500374,8,51.0,0.40245722809897577,8,51.0
25.0,8,91.0,4.333333333333333,6.428815963593011,8,91.0,0.375242179491799,8,91.0
30.0,10,141.0,7.05,6.234509244515198,10,141.0,0.3409477562408086,10,141.0
35.0,10,191.0,7.958333333333333,6.617383854030464,10,191.0,0.2824539684198317,10,191.0
40.0,12,247.0,9.5,7.38778528303604,12,247.0,0.43190443106824783,12,247.0
45.0,12,307.0,10.586206896551724,7.4195784832974745,12,307.0,0.37022793474112253,12,307.0
50.0,18,377.0,13.464285714285714,4.961285387233076,18,377.0,0.22315782617506527,18,377.0
55.0,18,467.0,16.678571428571427,4.702501595851393,18,467.0,0.25065481659240973,18,467.0
60.0,19,558.0,19.928571428571427,3.8865300661463595,19,558.0,0.15515750145101323,19,558.0
65.0,20,658.0,19.939393939393938,5.292324860604148,20,658.0,0.23904039631376225,20,658.0
70.0,14,486.0,16.2,4.659063588849763,14,636.0,0.20348024344514784,14,636.0
75.0,12,473.0,11.536585365853659,7.652799334313554,12,496.0,0.4234102088691502,12,496.0
80.0,14,539.0,14.18421052631579,8.21169973178025,14,539.0,0.43264839497109037,14,539.0
85.0,10,571.0,14.64102564102564,5.55810101572228,10,584.0,0.2771105192074324,10,584.0
90.0,18,646.0,19.0,6.020769609837631,18,646.0,0.24428537810480044,18,646.0
95.0,18,736.0,20.444444444444443,6.7265190466266755,18,736.0,0.25797715789157655,18,736.0
100.0,20,830.0,26.774193548387096,4.898446109549809,20,830.0,0.21922771766280397,20,830.0
105.0,20,930.0,28.181818181818183,4.9511390607556605,20,930.0,0.2577995865339403,20,930.0
110.0,22,1033.0,28.694444444444443,5.019939161229551,22,1033.0,0.2876113780017447,22,1033.0
115.0,18,883.0,24.52777777777778,5.26662420034231,18,933.0,0.3481077566118426,18,933.0
120.0,22,979.0,27.194444444444443,2.9743847869827365,22,979.0,0.1236538265040039,22,979.0
125.0,24,1096.0,27.4,3.940666694457198,24,1102.0,0.202406217979373,24,1102.0
130.0,24,1216.0,31.17948717948718,3.997425700283812,24,1216.0,0.16111779868421572,24,1216.0
135.0,26,1342.0,31.952380952380953,5.005721834438136,26,1342.0,0.20282925899010631,26,1342.0
140.0,20,1220.0,30.5,4.53148595578196,20,1361.0,0.1907412153226604,20,1361.0
145.0,18,1253.0,30.5609756097561,5.65622514183913,18,1311.0,0.31032434222990096,18,1311.0
150.0,15,608.0,13.217391304347826,5.759823454919513,15,1091.0,0.3197802956736913,15,1091.0
155.0,12,75.0,1.744186046511628,5.03958004221382,12,694.0,0.21186963789880742,12,694.0
160.0,14,73.0,1.6590909090909092,4.768909109804473,14,734.0,0.24230007361530814,14,734.0
165.0,14,122.0,3.128205128205128,3.8775973575611613,14,764.0,0.161625584731535,14,764.0
170.0,23,215.0,4.886363636363637,5.759097787869759,23,839.0,0.2258031471578926,23,839.0
