step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.016639474484755,0,0.0,0.8942141601956234,0,0.0
10.0,0,0.0,0.0,12.324407014547099,0,0.0,0.9186394903914148,0,0.0
15.0,4,7.0,0.3888888888888889,7.238643453481654,4,7.0,0.4007539325357787,4,7.0
20.0,8,43.0,2.388888888888889,7.304806353684386,8,43.0,0.4068503650974535,8,43.0
25.0,9,84.0,3.8181818181818183,7.098481558957201,9,84.0,0.35571444520882667,9,84.0
30.0,10,134.0,6.7,6.477080043845111,10,134.0,0.34999699427244135,10,134.0
35.0,10,184.0,8.0,6.542294577804541,10,184.0,0.2653868966574599,10,184.0
40.0,6,151.0,5.8076923076923075,7.582937634074122,6,184.0,0.48450542776869365,6,184.0
45.0,7,182.0,6.5,8.290462458368053,7,182.0,0.5076471740700977,7,182.0
50.0,12,231.0,8.25,6.361110821556416,12,231.0,0.3214526735591792,12,231.0
55.0,11,264.0,9.428571428571429,4.723722829060165,11,277.0,0.2769625888889312,11,277.0
60.0,11,319.0,12.76,5.837304317843424,11,319.0,0.28400978545284633,11,319.0
65.0,13,381.0,12.290322580645162,6.956511785882971,13,381.0,0.3797626933904656,13,381.0
70.0,13,446.0,17.153846153846153,6.0548451946793165,13,446.0,0.2731941244702205,13,446.0
75.0,15,514.0,14.685714285714285,7.108356297356854,15,514.0,0.4040981178015942,15,514.0
80.0,9,267.0,8.612903225806452,6.708966864780918,9,450.0,0.4350329190005683,9,450.0
85.0,10,250.0,6.944444444444445,6.374954096323912,10,309.0,0.3515593124419411,10,309.0
90.0,15,318.0,9.352941176470589,6.911538456760447,15,318.0,0.300049391812332,15,318.0
95.0,12,356.0,10.787878787878787,5.228365917849594,12,372.0,0.2013297149440151,12,372.0
100.0,13,420.0,13.548387096774194,6.728970705731064,13,420.0,0.3155834203563064,13,420.0
105.0,13,485.0,15.15625,7.4284257973594645,13,485.0,0.32058600927311665,13,485.0
110.0,15,553.0,16.757575757575758,7.022862762415642,15,553.0,0.36235602891949914,15,553.0
115.0,15,628.0,20.258064516129032,6.514876207912714,15,628.0,0.34995084151076233,15,628.0
120.0,11,394.0,13.586206896551724,4.562626101373452,11,575.0,0.2605840856947292,11,575.0
125.0,9,317.0,9.90625,6.286806752792025,9,438.0,0.34404962172562803,9,438.0
130.0,12,370.0,11.212121212121213,6.509249182108536,12,375.0,0.26548548756143325,12,375.0
135.0,10,389.0,11.114285714285714,5.777094651787924,10,412.0,0.2727270012472846,10,412.0
140.0,11,443.0,14.290322580645162,7.172175438098823,11,448.0,0.3668773930900344,11,448.0
145.0,11,498.0,15.090909090909092,8.379990710732725,11,503.0,0.4416463022439215,11,503.0
150.0,13,559.0,16.939393939393938,7.941930622738737,13,564.0,0.46848125480610975,13,564.0
155.0,13,624.0,21.517241379310345,5.122950486144909,13,629.0,0.2926107096196489,13,629.0
160.0,16,605.0,18.90625,3.9891899059954588,16,652.0,0.2273056744402667,16,652.0
165.0,17,688.0,21.5,5.126983188156569,17,690.0,0.2028528432778753,17,690.0
170.0,21,782.0,21.72222222222222,5.043817224203432,21,782.0,0.20042632790131204,21,782.0
175.0,15,819.0,24.818181818181817,4.5529996839016755,15,850.0,0.20876973612100044,15,850.0
180.0,14,882.0,25.941176470588236,5.895563294433127,14,889.0,0.2648688756529508,14,889.0
185.0,16,958.0,25.89189189189189,7.654998480860859,16,958.0,0.353492468550582,16,958.0
190.0,17,1039.0,28.86111111111111,6.321152520511986,17,1039.0,0.25414252467764475,17,1039.0
195.0,18,1106.0,33.515151515151516,4.96932174065761,18,1107.0,0.23101450519362027,18,1107.0
200.0,18,1196.0,37.375,4.463867533957303,18,1196.0,0.21517922413877402,18,1196.0
205.0,22,1300.0,38.23529411764706,4.379584510029913,22,1300.0,0.16863953489959044,22,1300.0
210.0,18,1376.0,40.470588235294116,3.8271708838782206,18,1390.0,0.2035321123411399,18,1390.0
215.0,18,1466.0,45.8125,4.610360771322918,18,1466.0,0.20993880149847427,18,1466.0
220.0,20,1560.0,35.45454545454545,7.402164459447772,20,1560.0,0.33860231863511975,20,1560.0
225.0,20,1660.0,43.68421052631579,5.522924158889588,20,1660.0,0.27574575804533974,20,1660.0
230.0,25,1751.0,44.8974358974359,2.823548810097276,25,1751.0,0.17421467222428136,25,1751.0
235.0,28,1886.0,49.63157894736842,3.261415488206641,28,1886.0,0.16102059013798514,28,1886.0
240.0,28,2026.0,48.23809523809524,2.986630471446228,28,2026.0,0.12838998055293982,28,2026.0
245.0,32,2182.0,54.55,2.4358486120237273,32,2182.0,0.14996349607416243,32,2182.0
250.0,28,2250.0,51.13636363636363,2.660247368654863,28,2299.0,0.14906243113933776,28,2299.0
255.0,25,2352.0,49.0,4.336730288839546,25,2375.0,0.23894552078498463,25,2375.0
260.0,26,2482.0,47.73076923076923,5.64424297609363,26,2482.0,0.2586411572109916,26,2482.0
265.0,30,2620.0,52.4,4.548946492607335,30,2620.0,0.1486784480679226,30,2620.0
270.0,32,2779.0,55.58,4.451791555956497,32,2779.0,0.197558818049924,32,2779.0
275.0,32,2939.0,66.79545454545455,3.06376771528068,32,2939.0,0.11206753701899164,32,2939.0
280.0,34,3107.0,66.1063829787234,3.5368288950810087,34,3107.0,0.14998240620298567,34,3107.0
285.0,34,3277.0,71.23913043478261,3.258687678138611,34,3277.0,0.12375748029568441,34,3277.0
290.0,29,3300.0,63.46153846153846,3.916464053882736,29,3371.0,0.25007690664706944,29,3371.0
295.0,32,3449.0,66.32692307692308,4.043557519753502,32,3451.0,0.22437543616790093,32,3451.0
300.0,37,3624.0,67.11111111111111,3.448807029387657,37,3624.0,0.11632773732669306,37,3624.0
305.0,35,3765.0,69.72222222222223,3.1405053346975613,35,3788.0,0.13579050386478456,35,3788.0
310.0,34,3933.0,75.63461538461539,3.835052126115802,34,3935.0,0.17739010991065396,34,3935.0
315.0,35,4104.0,76.0,4.34231408018815,35,4104.0,0.13248541137189127,35,4104.0
320.0,36,4284.0,82.38461538461539,3.9350676800366324,36,4284.0,0.15338202469883908,36,4284.0
325.0,35,4445.0,83.86792452830188,3.1492780057683816,35,4445.0,0.1700451690409202,35,4445.0
330.0,37,4630.0,89.03846153846153,2.7227610355752887,37,4630.0,0.12800143240688122,37,4630.0
335.0,43,4833.0,87.87272727272727,2.266924698117639,43,4833.0,0.1102708789219037,43,4833.0
340.0,39,4992.0,92.44444444444444,1.8020119884423726,39,5018.0,0.09026694237821013,39,5018.0
345.0,39,5182.0,90.91228070175438,3.2200784963780924,39,5186.0,0.14751556031711907,39,5186.0
350.0,40,5378.0,92.72413793103448,3.6524443338895733,40,5378.0,0.1291796835601769,40,5378.0
355.0,41,5582.0,96.24137931034483,3.744016733749466,41,5582.0,0.11547612160530009,41,5582.0
360.0,41,5787.0,111.28846153846153,2.6416253675906156,41,5787.0,0.1066032858377707,41,5787.0
365.0,38,5938.0,100.64406779661017,2.5538078280769705,38,5953.0,0.15614824035387107,38,5953.0
370.0,45,6150.0,104.23728813559322,2.539519950149601,45,6150.0,0.10676989689291329,45,6150.0
375.0,49,6386.0,99.78125,2.4497304744674278,49,6386.0,0.0962517751436338,49,6386.0
380.0,45,6582.0,106.16129032258064,2.389157206972274,45,6605.0,0.10606562966795074,45,6605.0
385.0,44,6797.0,107.88888888888889,3.0071816562537017,44,6802.0,0.14574836685519707,44,6802.0
390.0,46,7026.0,111.52380952380952,3.5144236082554623,46,7026.0,0.10941941236767296,46,7026.0
395.0,46,7256.0,117.03225806451613,2.870990908116901,46,7256.0,0.07827908503768449,46,7256.0
400.0,44,7457.0,114.72307692307692,2.6450103655814505,44,7459.0,0.1086899448078468,44,7459.0
405.0,48,7689.0,120.140625,2.75710128898677,48,7689.0,0.13307127849170544,48,7689.0
410.0,51,7937.0,124.015625,2.361935460613266,51,7937.0,0.09392517512199088,51,7937.0
415.0,48,8169.0,127.640625,1.8339288657832031,48,8176.0,0.10106122120643586,48,8176.0
420.0,48,8409.0,131.390625,2.716167406449488,48,8409.0,0.10149698370164983,48,8409.0
