step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.043475849630462,0,0.0,0.35618773991748864,0,0.0
10.0,0,0.0,0.0,12.077988713260359,0,0.0,0.854055023773608,0,0.0
15.0,0,0.0,0.0,9.046898138566588,0,0.0,0.6327068955344087,0,0.0
20.0,7,18.0,0.75,5.75485344699823,7,18.0,0.30021778187685105,7,18.0
25.0,12,42.0,1.5555555555555556,5.922942814965931,12,42.0,0.35675115045200684,12,42.0
30.0,12,88.0,3.3846153846153846,4.469635054389183,12,88.0,0.2681639145537242,12,88.0
35.0,10,87.0,3.107142857142857,5.076713537190401,10,117.0,0.31289586187682944,10,117.0
40.0,16,135.0,3.5526315789473686,4.3457199765762695,16,138.0,0.22260206146798459,16,138.0
45.0,12,71.0,1.775,6.321033601774836,12,152.0,0.3846839588876551,12,152.0
50.0,8,63.0,1.5,6.55709215901126,8,118.0,0.34641531229140543,8,118.0
55.0,14,60.0,1.3636363636363635,5.01445103083222,14,120.0,0.2339149815901972,14,120.0
60.0,14,108.0,2.7,5.830452014286955,14,144.0,0.2845617746655212,14,144.0
65.0,16,154.0,3.6666666666666665,4.401917704856136,16,202.0,0.21314453657698904,16,202.0
70.0,24,261.0,6.365853658536586,3.9410132703725207,24,297.0,0.1822020603682125,24,297.0
75.0,21,257.0,5.586956521739131,2.7112450682095557,21,346.0,0.12663315667798686,21,346.0
80.0,27,384.0,8.0,4.152608484474055,27,420.0,0.2261971474560698,27,420.0
85.0,35,528.0,10.153846153846153,3.5604788655697535,35,564.0,0.17201251760510425,35,564.0
90.0,28,488.0,9.568627450980392,2.538680653947332,28,634.0,0.11179782150532472,28,634.0
95.0,25,392.0,7.538461538461538,3.0090300737621165,25,638.0,0.12188224580631629,25,638.0
100.0,25,469.0,8.228070175438596,4.951559793790922,25,599.0,0.20004365652453143,25,599.0
105.0,25,587.0,10.672727272727272,5.4174662096991435,25,647.0,0.24693945177576077,25,647.0
110.0,26,700.0,12.068965517241379,3.626926913121869,26,739.0,0.13340921692383692,26,739.0
115.0,36,854.0,14.982456140350877,3.0452068264707166,36,891.0,0.15357184565396798,36,891.0
120.0,36,928.0,16.87272727272727,3.466248589848448,36,1018.0,0.19743919459755765,36,1018.0
125.0,42,1120.0,19.310344827586206,2.354538982316015,42,1156.0,0.08251789211214414,42,1156.0
130.0,40,951.0,15.338709677419354,3.017523804904647,40,1229.0,0.10566662782796209,40,1229.0
135.0,35,609.0,9.98360655737705,2.7406705871738875,35,1157.0,0.09514552285982693,35,1157.0
140.0,33,510.0,8.095238095238095,2.6804327863120414,33,1317.0,0.11376625594112728,33,1317.0
145.0,42,553.0,8.378787878787879,1.463554060582201,42,1485.0,0.05922048508064131,42,1485.0
150.0,35,661.0,9.579710144927537,1.896194075227297,35,1524.0,0.1207717900277918,35,1524.0
155.0,31,769.0,10.985714285714286,3.1067081433426886,31,1435.0,0.16547461440272362,31,1435.0
160.0,35,812.0,10.68421052631579,2.345044661009038,35,1537.0,0.10060726482725213,35,1537.0
165.0,39,978.0,12.7012987012987,2.109401187505183,39,1689.0,0.06204606442258491,39,1689.0
170.0,45,1173.0,15.43421052631579,2.079646250297204,45,1892.0,0.07454537431449063,45,1892.0
175.0,51,1416.0,18.63157894736842,1.7486751207005014,51,2127.0,0.056523755408133536,51,2127.0
180.0,57,1296.0,17.05263157894737,1.0174515001258408,57,2253.0,0.013358732063247175,57,2253.0
